Country,Clicks,Impressions,CTR,Position
Australia,1,21,4.76%,62.19
Sri Lanka,1,8,12.5%,70.5
Finland,1,3,33.33%,53
United States,0,742,0%,73.61
India,0,338,0%,61.2
Philippines,0,284,0%,60.36
Indonesia,0,211,0%,48.98
Thailand,0,142,0%,42.92
United Kingdom,0,140,0%,65.79
Vietnam,0,118,0%,44.62
France,0,115,0%,60.63
Spain,0,108,0%,65.42
Turkey,0,105,0%,54.36
Malaysia,0,105,0%,56.49
Bangladesh,0,102,0%,53
Russia,0,70,0%,39.29
Saudi Arabia,0,70,0%,52.5
Pakistan,0,68,0%,62.41
Mexico,0,63,0%,44.32
Ukraine,0,61,0%,42.7
Canada,0,53,0%,84.96
Brazil,0,42,0%,71.19
Morocco,0,39,0%,47.95
Jordan,0,34,0%,44.41
Italy,0,34,0%,86.94
Algeria,0,32,0%,48.78
Poland,0,30,0%,89.83
Germany,0,19,0%,68.58
Israel,0,18,0%,80.72
United Arab Emirates,0,16,0%,85.44
Netherlands,0,12,0%,69.42
New Zealand,0,10,0%,51.3
Kenya,0,10,0%,95.4
Qatar,0,9,0%,90.22
China,0,8,0%,28.5
Iraq,0,8,0%,50.5
Myanmar (Burma),0,8,0%,77.62
Nigeria,0,7,0%,71.29
Egypt,0,7,0%,89.43
Sweden,0,6,0%,57.5
Georgia,0,6,0%,75.33
Tunisia,0,6,0%,81.67
Switzerland,0,6,0%,90.17
Singapore,0,5,0%,44.6
Norway,0,5,0%,74.8
Austria,0,4,0%,58.25
Denmark,0,4,0%,68.75
Romania,0,4,0%,72
Estonia,0,4,0%,83.25
Portugal,0,4,0%,83.25
Armenia,0,4,0%,87.5
Greece,0,4,0%,90.25
Bosnia & Herzegovina,0,4,0%,96.5
Czechia,0,3,0%,59
Cambodia,0,3,0%,69.33
Mongolia,0,3,0%,84.67
Belgium,0,3,0%,87.67
Azerbaijan,0,3,0%,89.33
Hungary,0,3,0%,93
Latvia,0,3,0%,93.67
South Korea,0,2,0%,28
Bahrain,0,2,0%,46.5
Japan,0,2,0%,47.5
Lithuania,0,2,0%,48.5
Serbia,0,2,0%,51
Malta,0,2,0%,52
Ghana,0,2,0%,72
Peru,0,2,0%,81.5
Hong Kong,0,2,0%,82.5
Bulgaria,0,2,0%,89.5
Brunei,0,2,0%,91
Argentina,0,2,0%,94
Zimbabwe,0,1,0%,1
Iran,0,1,0%,6
Zambia,0,1,0%,9
Ethiopia,0,1,0%,10
Taiwan,0,1,0%,11
Syria,0,1,0%,44
Ireland,0,1,0%,71
South Africa,0,1,0%,82
Colombia,0,1,0%,84
Kazakhstan,0,1,0%,86
Slovakia,0,1,0%,88
Venezuela,0,1,0%,89
Montenegro,0,1,0%,94
Croatia,0,1,0%,95
Botswana,0,1,0%,97
Jamaica,0,1,0%,98
Nepal,0,1,0%,98
Belarus,0,1,0%,99
Palestine,0,1,0%,99
