Country,Clicks,Impressions,CTR,Position
Australia,1,23,4.35%,57.57
Sri Lanka,1,8,12.5%,70.5
Finland,1,5,20%,35.2
United States,0,957,0%,67.24
Philippines,0,850,0%,66.03
India,0,828,0%,65.05
Vietnam,0,402,0%,61.1
Indonesia,0,392,0%,56.95
Bangladesh,0,297,0%,63.3
Thailand,0,267,0%,53.83
Malaysia,0,265,0%,63.08
Turkey,0,245,0%,61.78
Mexico,0,212,0%,59.58
United Kingdom,0,185,0%,64.63
France,0,141,0%,61.85
Spain,0,129,0%,65.35
Russia,0,98,0%,46.98
Morocco,0,90,0%,58.74
Saudi Arabia,0,86,0%,55.17
Ukraine,0,83,0%,47.86
Jordan,0,74,0%,55.15
Pakistan,0,74,0%,60.27
Algeria,0,64,0%,56.44
Canada,0,57,0%,79.67
Brazil,0,44,0%,70.5
Italy,0,34,0%,86.94
Poland,0,31,0%,88.26
Germany,0,20,0%,65.6
Israel,0,19,0%,81
United Arab Emirates,0,17,0%,81.29
Netherlands,0,14,0%,60.79
Iraq,0,11,0%,55.09
New Zealand,0,10,0%,51.3
Kenya,0,10,0%,95.4
Singapore,0,9,0%,33.89
Qatar,0,9,0%,90.22
China,0,8,0%,28.5
Norway,0,8,0%,50.5
Myanmar (Burma),0,8,0%,77.62
Sweden,0,7,0%,50.71
Georgia,0,7,0%,64.71
Nigeria,0,7,0%,71.29
Switzerland,0,7,0%,78.14
Egypt,0,7,0%,89.43
Belgium,0,6,0%,48.5
Denmark,0,6,0%,48.5
Romania,0,6,0%,56.17
Tunisia,0,6,0%,81.67
St. Lucia,0,5,0%,7.4
Cambodia,0,5,0%,45.2
Austria,0,5,0%,48.8
Portugal,0,5,0%,70.8
Greece,0,5,0%,73.4
Bosnia & Herzegovina,0,5,0%,79.2
Czechia,0,4,0%,46
Hungary,0,4,0%,78.75
Estonia,0,4,0%,83.25
Armenia,0,4,0%,87.5
Japan,0,3,0%,35
Ghana,0,3,0%,51.33
Syria,0,3,0%,64.67
Mongolia,0,3,0%,84.67
Azerbaijan,0,3,0%,89.33
Latvia,0,3,0%,93.67
Iran,0,2,0%,7
Cyprus,0,2,0%,8
South Korea,0,2,0%,28
Bahrain,0,2,0%,46.5
Kazakhstan,0,2,0%,47.5
Lithuania,0,2,0%,48.5
Slovakia,0,2,0%,49
Serbia,0,2,0%,51
Malta,0,2,0%,52
Peru,0,2,0%,81.5
Hong Kong,0,2,0%,82.5
Bulgaria,0,2,0%,89.5
Brunei,0,2,0%,91
Argentina,0,2,0%,94
Zimbabwe,0,1,0%,1
Cameroon,0,1,0%,6
Costa Rica,0,1,0%,8
Zambia,0,1,0%,9
Ethiopia,0,1,0%,10
Maldives,0,1,0%,11
Taiwan,0,1,0%,11
Ireland,0,1,0%,71
South Africa,0,1,0%,82
Colombia,0,1,0%,84
Venezuela,0,1,0%,89
Montenegro,0,1,0%,94
Croatia,0,1,0%,95
Botswana,0,1,0%,97
Jamaica,0,1,0%,98
Nepal,0,1,0%,98
Belarus,0,1,0%,99
Palestine,0,1,0%,99
